,Null Deviance Check,Residual,AIC
,,,
All,25190,17510,17530
Age,,17930,17950
Edu Cat,,19420,19440
Maritial Status,,17780,17800
Occupation,,17520,17540
Rel Status,,17560,17580
Race Type,,17560,17580
Sex,,17750,1770
Capital Gain,,18930,18950
Capital Loss,,17820,17840
Work Hours,,17860,17880
Country,,17510,17850
