"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"856","RT @BJP4India: I admire the spirit of entrepreneurship of the Korean people. I admire the way in which they have created and sustained thei…",FALSE,0,NA,2018-02-27 07:21:20,FALSE,NA,"968385547252260864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhavalBJP1543",101,TRUE,FALSE,NA,NA
"857","RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u",FALSE,0,NA,2018-02-27 07:21:11,FALSE,NA,"968385509876731904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khargharia_a",323,TRUE,FALSE,NA,NA
"858","RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…",FALSE,0,NA,2018-02-27 07:21:08,FALSE,NA,"968385496572420099",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ajitdebnathbjp",212,TRUE,FALSE,NA,NA
"859","RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u",FALSE,0,NA,2018-02-27 07:21:00,FALSE,NA,"968385463701655552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NeerGopal",323,TRUE,FALSE,NA,NA
"860","RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…",FALSE,0,NA,2018-02-27 07:20:58,FALSE,NA,"968385455061381121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnantKumarShuk",212,TRUE,FALSE,NA,NA
"861","@ndtv Drunkard #ManojBaitha #KilledChildren and @BJP4India removed him from party just for 6 years, wtf, he shuld b… https://t.co/T3vWhCS8TH",FALSE,2,"ndtv",2018-02-27 07:20:55,TRUE,"968385018929311745","968385441920675841","37034483","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jonny_zxy",0,FALSE,FALSE,NA,NA
"862","How long can @BJP4India survive in SM warfare with only lion hearted supporters, if media and IT cells are same was… https://t.co/tZBuV3Gf8r",FALSE,22,NA,2018-02-27 07:20:51,TRUE,NA,"968385422257778689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SMedia4",19,FALSE,FALSE,NA,NA
"863","Humble request to Sh. @narendramodi ji @Sh. @arunjaitley ji Sh.@Ramlal ji Sh. @AmitShah ji Sh. @rajnathsingh ji Sh.… https://t.co/QqmDs6YkI9",FALSE,3,NA,2018-02-27 07:20:29,TRUE,NA,"968385330125647873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Anshul_AAgarwal",2,FALSE,FALSE,NA,NA
"864","@sagarikaghose @Inc @BJP4India Besides those nine killed, six students were critically injured and the MALA has not been arrested yet",FALSE,1,"sagarikaghose",2018-02-27 07:20:26,FALSE,"968139132588515328","968385318171836416","56312411","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jatin_TOI",0,FALSE,FALSE,NA,NA
"865","@narendramodi @BJP4India Jai hind",FALSE,1,"narendramodi",2018-02-27 07:20:22,FALSE,"965191759893540870","968385301205999616","18839785","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MohitSh59769899",0,FALSE,FALSE,NA,NA
"866","RT @BJP4India: I would like to personally invite to India those who are not yet present here. There are very few countries in the world whe…",FALSE,0,NA,2018-02-27 07:20:18,FALSE,NA,"968385287046008833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bjpbiharpramod",82,TRUE,FALSE,NA,NA
