"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"885","@Peace_Nirvana1 @TeestaSetalvad True. Sickening how @INCIndia nurtured nimo, how jihadis laughed as they killed poor madhu!!!!",FALSE,0,"Peace_Nirvana1",2018-02-27 08:09:36,FALSE,"968391948498341888","968397691402227712","102915527","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KadvaaS",0,FALSE,FALSE,NA,NA
"886","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:09:35,FALSE,NA,"968397686826135552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","peerjournalist",357,TRUE,FALSE,NA,NA
"887","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:09:34,FALSE,NA,"968397685194567680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manran007",357,TRUE,FALSE,NA,NA
"888","RT @INCIndia: Its been 13 days since the #ChhotaModi PNB Scam. In fact, the magnitude of the scam is also expected to have gone up by anoth…",FALSE,0,NA,2018-02-27 08:09:29,FALSE,NA,"968397663333994496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aiuwcindia",205,TRUE,FALSE,NA,NA
"889","RT @ShefVaidya: Wah! This must be the 'Yuva Josh, not Kattar Soch' that @INCIndia keeps talking about!! First that Mohammed Haris Nalapad,…",FALSE,0,NA,2018-02-27 08:09:25,FALSE,NA,"968397645105557504",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","VallabhThakkar",734,TRUE,FALSE,NA,NA
"890","RT @Varun_yad22: @ramanmalik @Mohitbishnoi07 @BhupinderSHooda @INCIndia @rajatsoni1987 @SonicSamir @riteshs11052198 @JeetSee @way2amit @Pra…",FALSE,0,NA,2018-02-27 08:09:16,FALSE,NA,"968397608954875904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mohitbishnoi07",10,TRUE,FALSE,NA,NA
"891","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:09:14,FALSE,NA,"968397601413443585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bhavik567",357,TRUE,FALSE,NA,NA
"892","RT @INCIndia: Our schemes are for farmers, labourers, and millions of marginalised. The BJP's schemes are only for a few specific rich indu…",FALSE,0,NA,2018-02-27 08:09:13,FALSE,NA,"968397596178837511",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",295,TRUE,FALSE,NA,NA
"893","RT @INCIndia: PM Modi promised 'Make in India', 'Stand Up India', 'Beti Bachao...' schemes but have any of these promises been met? The UPA…",FALSE,0,NA,2018-02-27 08:09:10,FALSE,NA,"968397582308319232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",317,TRUE,FALSE,NA,NA
"894","RT @INCIndia: The Modi Govt's U-turn policy on Pakistan is jeopardising our national security. While Pakistan violates ceasefire almost eve…",FALSE,0,NA,2018-02-27 08:09:07,FALSE,NA,"968397570664947712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","198f89da414a49c",359,TRUE,FALSE,NA,NA
"895","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:09:03,FALSE,NA,"968397556039401472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MeenaDee2",357,TRUE,FALSE,NA,NA
"896","@INCIndia That case in the SC now filed by your @tehseenp and funded by your party. Nothing wrong with that though.… https://t.co/W5cI8AUjSP",FALSE,1,"INCIndia",2018-02-27 08:09:03,TRUE,"968395663141670912","968397555900981248","1153045459","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RoyHirakesh",0,FALSE,FALSE,NA,NA
"897","RT @INCIndia: And, as it turns out, the quantum of the #ChhotaModi PNB Scam could go up by another <U+20B9>1323 crores. How much bigger does the s…",FALSE,0,NA,2018-02-27 08:09:03,FALSE,NA,"968397555343097857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NeerajKInc",264,TRUE,FALSE,NA,NA
"898","RT @INCIndia: LIVE: Congress President Rahul Gandhi addresses a gathering at Ramdurg #JanaAashirwadaYatre https://t.co/RIz5P2wrUO",FALSE,0,NA,2018-02-27 08:09:01,FALSE,NA,"968397547579428864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",723,TRUE,FALSE,NA,NA
"899","RT @INCIndia: Congress President Rahul Gandhi will begin the third day of #JanaAashirwadaYatre with a public meeting in Ramdurg. #NavaKarna…",FALSE,0,NA,2018-02-27 08:08:59,FALSE,NA,"968397535382351872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",316,TRUE,FALSE,NA,NA
"900","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:57,FALSE,NA,"968397528977891329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RamchandarRao4",357,TRUE,FALSE,NA,NA
"901","@TDPSoldier @INCIndia @BJP4India @narendramodi @OfficeOfRG @BJP4Andhra Hey fool...bjp contested only few seats becs of alliance",FALSE,0,"TDPSoldier",2018-02-27 08:08:56,FALSE,"968121816047931392","968397524649127937","826532324682694661","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vetriii",0,FALSE,FALSE,NA,NA
"902","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:56,FALSE,NA,"968397524145852416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShishirSriINC",358,TRUE,FALSE,NA,NA
"903","RT @INCIndia: Did #ChhotaModi and ""Mehul Bhai"" get an early heads-up allowing them to flee the country? So many questions and yet PM Modi r…",FALSE,0,NA,2018-02-27 08:08:53,FALSE,NA,"968397511483211777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",556,TRUE,FALSE,NA,NA
"904","RT @INCIndia: And, as it turns out, the quantum of the #ChhotaModi PNB Scam could go up by another <U+20B9>1323 crores. How much bigger does the s…",FALSE,0,NA,2018-02-27 08:08:52,FALSE,NA,"968397508299902976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Manojkkori81",264,TRUE,FALSE,NA,NA
"905","RT @INCIndia: Its been 13 days since the #ChhotaModi PNB Scam. In fact, the magnitude of the scam is also expected to have gone up by anoth…",FALSE,0,NA,2018-02-27 08:08:50,FALSE,NA,"968397500896849920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Suryadeepb",205,TRUE,FALSE,NA,NA
"906","RT @INCIndia: Its been 13 days since the #ChhotaModi PNB Scam. In fact, the magnitude of the scam is also expected to have gone up by anoth…",FALSE,0,NA,2018-02-27 08:08:47,FALSE,NA,"968397485465944064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sugal1990",205,TRUE,FALSE,NA,NA
"907","RT @INCIndia: Meghalaya is the correct answer. Launched long before Modi Govt's Universal Health Insurance announced in the 2018 Budget, th…",FALSE,0,NA,2018-02-27 08:08:46,FALSE,NA,"968397482467123201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",177,TRUE,FALSE,NA,NA
"908","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:43,FALSE,NA,"968397469297016832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MdMdsamsir",358,TRUE,FALSE,NA,NA
"909","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:41,FALSE,NA,"968397461214478336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AolNavneet",358,TRUE,FALSE,NA,NA
"910","@INCIndia Good for moral",FALSE,0,"INCIndia",2018-02-27 08:08:40,FALSE,"968152159417241600","968397459033640961","1153045459","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pande1654Pande",0,FALSE,FALSE,NA,NA
"911","RT @INCIndia: Congress President Rahul Gandhi paid his respects at the Murugha Math, Dharwad, Karnataka. #JanaAashirwadaYatre #NavaKarnatak…",FALSE,0,NA,2018-02-27 08:08:37,FALSE,NA,"968397444848304128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NeerajKInc",444,TRUE,FALSE,NA,NA
"912","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:37,FALSE,NA,"968397443732779008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BolaPanchi",358,TRUE,FALSE,NA,NA
"913","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:30,FALSE,NA,"968397416406827008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ganeshkawde2",358,TRUE,FALSE,NA,NA
"914","@SumitBajoria @INCIndia @BJP4Meghalaya @mukulsangma @NalinSKohli In which direction hawa is blowing in the state? Any prediction?",FALSE,0,"SumitBajoria",2018-02-27 08:08:30,FALSE,"968335010314022912","968397414888439808","50924832","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","rajudasonline",0,FALSE,FALSE,NA,NA
"915","RT @INCIndia: Congress President Rahul Gandhi addresses a public meeting at Ramdurg, Karnataka. #JanaAashirwadaYatre #NavaKarnatakaNirmana…",FALSE,0,NA,2018-02-27 08:08:30,FALSE,NA,"968397414720724992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",355,TRUE,FALSE,NA,NA
"916","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:28,FALSE,NA,"968397405585461248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sugal1990",358,TRUE,FALSE,NA,NA
"917","RT @anuraag_saxena: This arrested accused is here on a poster with #IndiraGandhi, #SoniaGandhi &amp; @OfficeOfRG.
FYI, @INCIndia has STILL not…",FALSE,0,NA,2018-02-27 08:08:27,FALSE,NA,"968397404092461057",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anandydr",345,TRUE,FALSE,NA,NA
"918","RT @INCIndia: The Modi Govt's U-turn policy on Pakistan is jeopardising our national security. While Pakistan violates ceasefire almost eve…",FALSE,0,NA,2018-02-27 08:08:27,FALSE,NA,"968397403177930758",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",359,TRUE,FALSE,NA,NA
"919","RT @INCIndia: Nagaland deserves a change which will bring in growth, stability, and all-round development of the state. To ensure that, #Vo…",FALSE,0,NA,2018-02-27 08:08:27,FALSE,NA,"968397402049675265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bewithswami",300,TRUE,FALSE,NA,NA
"920","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:26,FALSE,NA,"968397399298371584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BKalitaINC",358,TRUE,FALSE,NA,NA
